DEBUG 2024-11-19 11:02:14,745 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1731656709.3343587
DEBUG 2024-11-19 11:02:14,745 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1731656708.6222389
DEBUG 2024-11-19 11:02:14,745 autoreload File C:\Program Files\Python312\Lib\email\mime\nonmultipart.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,746 autoreload File C:\Program Files\Python312\Lib\lzma.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,746 autoreload File E:\BackendResearch\.venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1731656745.9926176
DEBUG 2024-11-19 11:02:14,746 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1731656709.3682096
DEBUG 2024-11-19 11:02:14,746 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1731656709.0309463
DEBUG 2024-11-19 11:02:14,746 autoreload File C:\Program Files\Python312\Lib\asyncio\staggered.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,746 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1731656708.837247
DEBUG 2024-11-19 11:02:14,746 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1731656708.648226
DEBUG 2024-11-19 11:02:14,747 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1731656709.3009508
DEBUG 2024-11-19 11:02:14,747 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1731656698.196379
DEBUG 2024-11-19 11:02:14,747 autoreload File C:\Program Files\Python312\Lib\re\__init__.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,747 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1731656690.3562455
DEBUG 2024-11-19 11:02:14,747 autoreload File E:\BackendResearch\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1731656686.076661
DEBUG 2024-11-19 11:02:14,747 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1731656709.7006824
DEBUG 2024-11-19 11:02:14,747 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1731656709.3505595
DEBUG 2024-11-19 11:02:14,748 autoreload File C:\Program Files\Python312\Lib\enum.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,748 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1731656708.7547197
DEBUG 2024-11-19 11:02:14,748 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1731656709.3505595
DEBUG 2024-11-19 11:02:14,748 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1731656709.6504252
DEBUG 2024-11-19 11:02:14,748 autoreload File C:\Program Files\Python312\Lib\logging\config.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,748 autoreload File C:\Program Files\Python312\Lib\importlib\__init__.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,748 autoreload File C:\Program Files\Python312\Lib\email\_policybase.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,749 autoreload File C:\Program Files\Python312\Lib\encodings\aliases.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,749 autoreload File E:\BackendResearch\Backend\Research\admin.py first seen with mtime 1731993173.9962208
DEBUG 2024-11-19 11:02:14,749 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1731656709.6148767
DEBUG 2024-11-19 11:02:14,749 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1731656709.2673273
DEBUG 2024-11-19 11:02:14,749 autoreload File C:\Program Files\Python312\Lib\email\mime\message.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,749 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1731656709.2217193
DEBUG 2024-11-19 11:02:14,749 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1731656708.7567182
DEBUG 2024-11-19 11:02:14,749 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1731656709.6342967
DEBUG 2024-11-19 11:02:14,750 autoreload File E:\BackendResearch\.venv\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1731656686.082659
DEBUG 2024-11-19 11:02:14,750 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1731656709.1676917
DEBUG 2024-11-19 11:02:14,750 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1731656704.354271
DEBUG 2024-11-19 11:02:14,750 autoreload File C:\Program Files\Python312\Lib\ctypes\__init__.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,750 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1731656709.6232564
DEBUG 2024-11-19 11:02:14,750 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1731656708.7357283
DEBUG 2024-11-19 11:02:14,750 autoreload File C:\Program Files\Python312\Lib\email\header.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,751 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1731656708.9863794
DEBUG 2024-11-19 11:02:14,751 autoreload File C:\Program Files\Python312\Lib\http\client.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,751 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1731656708.673584
DEBUG 2024-11-19 11:02:14,751 autoreload File C:\Program Files\Python312\Lib\copyreg.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,751 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1731656708.7285523
DEBUG 2024-11-19 11:02:14,751 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1731656709.0344107
DEBUG 2024-11-19 11:02:14,751 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1731656709.3682096
DEBUG 2024-11-19 11:02:14,751 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1731656709.5678773
DEBUG 2024-11-19 11:02:14,752 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\utils\http.py first seen with mtime 1731656709.7678568
DEBUG 2024-11-19 11:02:14,752 autoreload File C:\Program Files\Python312\Lib\opcode.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,752 autoreload File C:\Program Files\Python312\Lib\_markupbase.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,752 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1731656709.0344107
DEBUG 2024-11-19 11:02:14,752 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1731656693.1603127
DEBUG 2024-11-19 11:02:14,752 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\urls\__init__.py first seen with mtime 1731656709.7006824
DEBUG 2024-11-19 11:02:14,752 autoreload File C:\Program Files\Python312\Lib\string.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,752 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1731656709.6504252
DEBUG 2024-11-19 11:02:14,753 autoreload File C:\Program Files\Python312\Lib\email\utils.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,753 autoreload File C:\Program Files\Python312\Lib\difflib.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,753 autoreload File C:\Program Files\Python312\Lib\multiprocessing\process.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,753 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1731656708.7005682
DEBUG 2024-11-19 11:02:14,753 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1731656693.1339288
DEBUG 2024-11-19 11:02:14,753 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1731656708.7517197
DEBUG 2024-11-19 11:02:14,754 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1731656709.6664221
DEBUG 2024-11-19 11:02:14,754 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\shortcuts.py first seen with mtime 1731656690.3413525
DEBUG 2024-11-19 11:02:14,754 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1731656704.3102975
DEBUG 2024-11-19 11:02:14,754 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1731656704.3122969
DEBUG 2024-11-19 11:02:14,754 autoreload File E:\BackendResearch\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1731656686.0387437
DEBUG 2024-11-19 11:02:14,754 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1731656693.1289327
DEBUG 2024-11-19 11:02:14,754 autoreload File C:\Program Files\Python312\Lib\bisect.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,755 autoreload File C:\Program Files\Python312\Lib\email\_header_value_parser.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,755 autoreload File C:\Program Files\Python312\Lib\asyncio\streams.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,755 autoreload File E:\BackendResearch\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1731656688.2811701
DEBUG 2024-11-19 11:02:14,755 autoreload File E:\BackendResearch\Backend\Backend\urls.py first seen with mtime 1731663148.4895978
DEBUG 2024-11-19 11:02:14,755 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1731656693.1460903
DEBUG 2024-11-19 11:02:14,755 autoreload File C:\Program Files\Python312\Lib\re\_constants.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,755 autoreload File C:\Program Files\Python312\Lib\signal.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,756 autoreload File C:\Program Files\Python312\Lib\nturl2path.py first seen with mtime 1722957452.0
DEBUG 2024-11-19 11:02:14,756 autoreload File C:\Program Files\Python312\Lib\email\base64mime.py first seen with mtime 1722957450.0
DEBUG 2024-11-19 11:02:14,756 autoreload File E:\BackendResearch\.venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1731656693.1510916
DEBUG 2024-11-19 11:02:14,756 autoreload File C:\Program Files\Python312\Lib\selectors.py first seen with mtime 1722957452.0
